,high,open,low,close,volume,RSI
20150616,26.37,26.22,23.98,24.46,469340.0,0.5
20150617,26.35,24.4,24.21,26.26,375338.0,0.5
20150618,26.38,25.85,24.7,24.89,301717.0,0.5
20150619,25.5,24.0,23.78,24.15,324838.0,0.5
20150623,24.99,24.3,22.5,24.88,317805.0,0.5
20150624,26.07,25.0,24.75,25.9,442601.0,0.5
20150625,25.91,25.9,23.7,23.94,365521.0,0.5
20150626,23.38,23.38,21.55,21.55,355961.0,0.5
20150629,22.2,22.06,19.4,19.4,413147.0,0.5
20150630,20.23,19.0,17.46,20.15,563041.0,0.5
20150701,20.25,19.6,18.14,18.14,392982.0,0.5
20150702,18.29,18.29,16.33,16.33,427131.0,0.5
20150703,16.37,15.6,14.7,14.7,428229.0,0.23420479302832245
20150706,16.12,16.11,13.23,13.23,540919.0,0.21539162112932606
20150707,12.59,12.59,11.91,11.91,458620.0,0.1996791624451199
20150708,11.91,11.91,11.91,11.91,0.0,0.1996791624451199
20150709,11.91,11.91,11.91,11.91,0.0,0.19967916244511985
20150710,11.91,11.91,11.91,11.91,0.0,0.1996791624451199
20150713,13.1,13.1,13.1,13.1,36376.0,0.2678706888584232
20150714,14.41,14.41,14.41,14.41,28255.0,0.3358313442600216
20150715,15.2,14.8,12.97,12.97,753192.0,0.3021930480453534
20150716,12.97,12.97,12.97,12.97,0.0,0.3021930480453534
20150717,12.97,12.97,12.97,12.97,0.0,0.30219304804535335
20150720,12.97,12.97,12.97,12.97,0.0,0.3021930480453534
20150721,12.97,12.97,12.97,12.97,0.0,0.3021930480453534
20150722,12.97,12.97,12.97,12.97,0.0,0.3021930480453534
20150723,14.27,14.27,14.27,14.27,20023.0,0.39448243001074873
20150724,15.7,15.7,15.7,15.7,8971.0,0.47741986315852214
20150727,17.26,17.26,15.76,15.81,1207926.0,0.48335811566909515
20150728,16.2,14.8,14.23,14.83,695169.0,0.4352850851679176
20150729,16.31,15.4,14.94,16.31,630409.0,0.5147888128647164
20150730,16.68,16.33,15.3,15.43,622135.0,0.4717118988980027
20150731,15.43,15.12,14.28,14.72,382423.0,0.43935302908141666
20150803,14.48,14.01,13.25,13.53,399187.0,0.3903875862789799
20150804,14.8,13.6,13.6,14.79,359177.0,0.45991418399357314
20150805,14.96,14.6,14.04,14.83,430283.0,0.4620390226398075
20150806,14.75,14.25,14.1,14.43,258794.0,0.4430247492405067
20150807,15.15,14.66,14.45,14.95,390088.0,0.47373861589858385
20150810,15.86,15.0,14.87,15.68,471273.0,0.5147210829122324
20150811,16.75,15.79,15.68,16.0,664176.0,0.5321441395099511
20150812,16.0,15.5,15.4,15.43,442010.0,0.4974395677963741
20150813,16.1,15.29,15.2,16.08,429389.0,0.5351528748297436
20150814,16.5,16.07,15.9,16.08,457930.0,0.5351528748297435
20150817,17.15,16.2,16.2,17.12,578456.0,0.5932706454132898
20150818,17.53,17.37,15.41,15.41,720409.0,0.48459564802890015
20150819,16.15,14.89,14.15,15.92,422290.0,0.513585494942024
20150820,16.61,15.6,15.44,15.6,446688.0,0.49454526234235247
20150821,15.64,15.35,14.2,14.25,302211.0,0.4224641171104377
20150824,13.74,13.44,12.83,12.83,198166.0,0.3619320133467437
20150825,11.78,11.55,11.55,11.55,262829.0,0.3172342135003767
20150826,11.87,11.4,10.4,10.4,441486.0,0.282981595565557
20150827,10.94,10.71,9.8,10.73,407083.0,0.3064245385172019
20150828,11.64,10.99,10.82,11.59,437401.0,0.3654103904823211
20150831,11.56,11.44,10.84,11.44,331436.0,0.3595914375060037
20150901,11.31,11.2,10.3,11.02,413236.0,0.3429115667200989
20150902,11.37,10.39,10.2,10.24,249206.0,0.3134543621187737
20150907,10.85,10.43,10.35,10.48,237950.0,0.33269584013124825
20150908,11.09,10.41,10.25,10.95,212029.0,0.3703934185254994
20150909,11.63,11.07,11.07,11.62,370327.0,0.4212391255431195
20150910,11.62,11.35,11.2,11.26,259445.0,0.40220015240023615
20150911,11.56,11.28,11.16,11.39,200697.0,0.41265783392143107
20150914,11.59,11.53,10.25,10.25,296295.0,0.3534992034911219
20150915,10.5,10.0,9.33,9.51,277229.0,0.3209200158345691
20150916,10.46,9.66,9.51,10.34,260872.0,0.3897381603695366
20150917,11.03,10.3,10.15,10.16,327178.0,0.3806128334856116
20150918,10.43,10.35,9.9,10.18,240550.0,0.38236571655282975
20150921,10.55,9.98,9.93,10.52,228258.0,0.4131652439787131
20150922,10.93,10.55,10.42,10.74,337907.0,0.43311954264762226
20150923,10.52,10.5,10.25,10.32,219439.0,0.4044758868000608
20150924,10.6,10.33,10.33,10.5,176751.0,0.4223369390122588
20150925,10.55,10.47,10.01,10.1,176084.0,0.39371090517498347
20150928,10.43,10.14,9.98,10.37,107839.0,0.4225327518636848
20150929,10.18,10.18,9.99,10.09,110296.0,0.4009684653529404
20150930,10.36,10.1,10.1,10.18,100747.0,0.4115000610013732
20151008,10.84,10.69,10.55,10.76,236244.0,0.47623715799486094
20151009,11.49,10.66,10.66,11.39,436564.0,0.5366361958854645
20151012,12.11,11.6,11.46,11.93,464519.0,0.5817372128402502
20151013,12.12,11.78,11.68,11.95,303768.0,0.5833756646015912
20151014,12.37,11.94,11.78,11.99,333045.0,0.5869062894368474
20151015,12.5,11.91,11.81,12.5,416252.0,0.6304637660461964
20151016,12.62,12.48,12.25,12.56,411223.0,0.6353978102622961
20151019,12.49,12.49,12.07,12.18,358024.0,0.5817328848034873
20151020,12.3,12.06,11.96,12.19,300724.0,0.5827445848328786
20151021,12.3,12.16,11.01,11.09,400242.0,0.45165080720084283
